amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
"TOTAL AMOUNT:  $1,050,750",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,American Endowment Foundation,"Hudson, OH United States","National Public Radio, Inc.","Washington, DC United States",Programs,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,033,195",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States","Grist Magazine, Inc.","Seattle, WA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,032,000",FISCAL YEAR: 2019,"PROGRAM AREA: Censorship, Freedom Of Speech and Press",GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States","Committee to Protect Journalists, Inc.","New York City, NY United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,000,000",FISCAL YEAR: 2019,PROGRAM AREA: Executive,GRANT DURATION: 1 year,GRANT TITLE: Global Change Data Lab,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Capacity-building and technical assistance; Data and measurement systems; General support; Online media,TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Global Change Data Lab,"Oxford, United Kingdom","to provide general operating support to a new data non-profit entity to increase web development capacity, develop a business plan, and increase content outputs related to global health and development.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,000,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,SUBJECT:Investigative journalism,POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Craig Newmark Foundation,"San Francisco, CA United States",ProPublica,"New York City, NY United States","To expose abuses of power and betrayals of the public trust by government, business, and other institutions, using the moral force of investigative journalism to spur reform through the sustained spotlighting of wrongdoing.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,000,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults,SUPPORT STRATEGY: Public engagement and education; Program support,TRANSACTION TYPE: Cash grants,Hollywood Foreign Press Association Charitable Trust,"West Hollywood, CA United States",Inside Climate News,"Brooklyn, NY United States",Grant in support of journalists.,https://www.newsbusters.org/blogs/business/julia-seymour/2019/01/07/golden-globes-announces-2m-journalists-including-lefty
"TOTAL AMOUNT:  $1,000,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Researchers; Activists,SUPPORT STRATEGY: Public engagement and education; Program support,TRANSACTION TYPE: Cash grants,Hollywood Foreign Press Association Charitable Trust,"West Hollywood, CA United States",REPORTERS COMMITTEE FOR FREEDOM OF THE PRESS,"Washington, DC United States",Grant in support of journalists.,https://www.newsbusters.org/blogs/business/julia-seymour/2019/01/07/golden-globes-announces-2m-journalists-including-lefty
"TOTAL AMOUNT:  $1,000,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Houston Endowment Inc,"Houston, TX United States",TEXAS TRIBUNE INC,"Austin, TX United States",Toward Houston focused initiatives of the strategic plan,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,000,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media literacy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adolescents; Adults; Teachers; Students; Preteens,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",The News Literacy Project,"Bethesda, MD United States",To promote news literacy and critical thinking among the next generation by offering quality tools,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,000,000",FISCAL YEAR: 2019,,GRANT DURATION: 2 years,"GRANT TITLE: Providing quality health news for underserved residents in the U.S. Southwest and creating a cadre of journalists to cover those issues, 2019-2021","SUBJECT:Journalism, news and information; Advocacy journalism",POPULATION SERVED: Academics,"SUPPORT STRATEGY: Equal access; Policy, advocacy and systems reform; Program support",TRANSACTION TYPE: Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",Arizona State University Foundation,"Tempe, AZ United States","To support the Walter Cronkite School of Journalism and Mass Communication at Arizona State University in (1) providing health news to residents of Arizona, New Mexico, Nevada, Texas, and Southern California, with an emphasis on Latino, American Indian, and Spanish-speaking border communities; (2) educating policymakers, health care leaders, and residents of the region on issues that affect public policy and health care delivery; and (3) developing the next generation of health care journalists in the Southwestern United States.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,000,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Sandler Foundation,"San Francisco, CA United States","PRO Publica, Inc.","New York City, NY United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,000,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Sandler Foundation,"San Francisco, CA United States","PRO Publica, Inc.","New York City, NY United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,000,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Sandler Foundation,"San Francisco, CA United States","PRO Publica, Inc.","New York City, NY United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,000,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support; General support,TRANSACTION TYPE: Cash grants,The Call Foundation,"Salt Lake City, UT United States",The Utah Journalism Foundation,"Salt Lake City, UT United States",Contribution made to a 501(C)3 charitable institution in support of its continuing mission.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,000,000",FISCAL YEAR: 2019,PROGRAM AREA: Creativity and Free Expression,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media democracy; Journalism, news and information; Investigative journalism; Constituency journalism",POPULATION SERVED: Ethnic and racial groups,SUPPORT STRATEGY: Donor collaborations; General support; Program creation,TRANSACTION TYPE: Cash grants,The Ford Foundation,"New York City, NY United States",BOREALIS PHILANTHROPY,"Minneapolis, MN United States","Core support to launch the Racial Equity in Journalism Fund, a donor collaborative to assist and strengthen people of color-led and -serving media institutions, particularly around civic news coverage",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,000,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Katie Mcgrath & Jj Abrams Family Foundation,"Encino, CA United States","PRO Publica, Inc.","New York City, NY United States",Unrestricted support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,000,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism education",POPULATION SERVED: Academics,SUPPORT STRATEGY: Continuing support,TRANSACTION TYPE: Cash grants,The Kohlberg Foundation Inc,"Armonk, NY United States","CUNY Graduate School of Journalism Foundation, Inc.","New York City, NY United States",Dean's Opportunity Fund. Renewed Support.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,000,000",FISCAL YEAR: 2019,PROGRAM AREA: Environmental & Climate Justice,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Children and youth; Adults; LGBTQ people; Immigrants and migrants; Artists and performers; Activists,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Libra Foundation,"San Francisco, CA United States",The Center for Cultural Power,"Oakland, CA United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,000,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,The Samuel and Jean Frankel Jewish Heritage Foundation,"Troy, MI United States",Mesorah Heritage Foundation,"Rahway, NJ United States",RELIGIOUS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,000,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Researchers,SUPPORT STRATEGY: Program support; Publications,TRANSACTION TYPE: Cash grants,The Schmidt Family Foundation,"Palo Alto, CA United States","Climate Central, Inc.","Princeton, NJ United States",Climate News Engine,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,000,000",FISCAL YEAR: 2019,PROGRAM AREA: Environment/Western Conservation/Defense,GRANT DURATION: 2 years,GRANT TITLE: for support of the Center for Western Priorities,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,"SUPPORT STRATEGY: Online media; Policy, advocacy and systems reform; Presentations and productions; Program support; Public engagement and education; Publications; Research",TRANSACTION TYPE: Cash grants,The William & Flora Hewlett Foundation,"Menlo Park, CA United States",RESOURCES LEGACY FUND,"Sacramento, CA United States","This grant will support the Center for Western Priorities, a project of the Resources Legacy Fund. The Center encourages public debate about conservation policy issues and works to advance those discussions online, in the news media, and throughout Western communities by sharing original research and reports.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,000,000",FISCAL YEAR: 2019,PROGRAM AREA: Arts/Culture,GRANT DURATION: 1 year,GRANT TITLE: Campaign 21,"SUBJECT:Television; Radio; Journalism, news, and information, general",POPULATION SERVED: Children and youth,SUPPORT STRATEGY: Continuing support; Capacity-building and technical assistance; Capital and infrastructure; Annual campaigns; Program creation,TRANSACTION TYPE: Cash grants,"William K. Bowes, Jr. Foundation","San Francisco, CA United States",Northern California Public Broadcasting,"San Francisco, CA United States","Campaign 21, supporting the creation of a KQED Lab; the creation of five Content Centers including one each for the topics of Arts, Science, News, Bay Area Life and Education; and the acquisition of equipment and staff to expand and enhance KQED's technology and infrastructure; and the cost of raising and administering funds in support of these efforts.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
