amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
"TOTAL AMOUNT:  $1,833,578",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Children and youth; Adults; Families,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Corporation for Public Broadcasting,"Washington, DC United States",NORTH TEXAS PUBLIC BROADCASTING INC,"Dallas, TX United States",TVCSG,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,807,085",FISCAL YEAR: 2021,PROGRAM AREA: U.S. Program,GRANT DURATION: 1 year,GRANT TITLE: President and Fellows of Harvard College,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Teachers,SUPPORT STRATEGY: Fellowships; Leadership and professional development; Research,TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",President and Fellows of Harvard College,"Cambridge, MA United States",to recruit and place a cohort of P20W data fellows in participating state agencies and to train and support the fellows in executing a common set of analyses that leverage state data to learn more about student pathways to success.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,800,360",FISCAL YEAR: 2021,PROGRAM AREA: Global Policy and Advocacy,GRANT DURATION: 1 year,GRANT TITLE: Centre for Journalism Innovation and Development,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,"SUPPORT STRATEGY: Policy, advocacy and systems reform; Program support",TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Centre for Journalism Innovation and Development,"Abuja, Nicaragua","to support sustained evidence-based, and solutions-oriented media coverage of global health and development issues in Primary Health Care systems, Agriculture & Gender Equality",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,782,793",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Equal access; Public engagement and education; Ethics and accountability,TRANSACTION TYPE: Cash grants,Bhp Foundation,"Washington, DC United States",Open Contracting Partnershipd,"New York City, NY United States","The Project will support the adoption of Open Contracting to promote accessible, user-friendly open data along the entire",https://apps.irs.gov/pub/epostcard/cor/611714573_202106_990PF_2022042119923776.pdf
"TOTAL AMOUNT:  $1,729,408",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism education",POPULATION SERVED: Academics,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Corporation for Public Broadcasting,"Washington, DC United States",The Poynter Institute for Media Studies Inc,"St Petersburg, FL United States",OSS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,650,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Swanee Hunt Family Foundation,"Washington, DC United States",Hunt Alternatives,"Washington, DC United States","INCLUSIVE SECURITY, DEMAND ABOLITION, POLITICAL PARITY, PRIME MOVERS PROGRAMS",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,575,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media justice; Journalism, news and information; Citizen journalism",POPULATION SERVED: Victims of crime and abuse,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,THE SKOLL FUND,"Palo Alto, CA United States","Witness, Inc.","New York City, NY United States",GENERAL OPERATING SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,574,001",FISCAL YEAR: 2021,PROGRAM AREA: Global Policy and Advocacy,GRANT DURATION: 1 year,GRANT TITLE: Global Change Data Lab,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support; Public engagement and education,TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Global Change Data Lab,"Oxford, United Kingdom",to strengthen provision of capacity and tools for media organizations to be more effective in the implementation of data storytelling,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,550,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Fellowships,TRANSACTION TYPE: Cash grants,Abrams Foundation Inc,"Boston, MA United States","PRO Publica, Inc.","New York City, NY United States","FELLOWSHIP GRANT, SUPPORT OF PROPUBLICA LOCAL REPORTING NETWORK",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Crankstart Foundation,"SAN FRANCISCO, CA United States","PRO Publica, Inc.","New York City, NY United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Diana Davis Spencer Foundation Inc,"Bethesda, MD United States",Informing America Foundation,"WASHINGTON, DC United States",GENERAL OPERATION SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2021,PROGRAM AREA: Science / Projects,GRANT DURATION: 5 years,GRANT TITLE: All-Sky Automated Survey for Supernovae,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Data and measurement systems,TRANSACTION TYPE: Cash grants,GORDON E AND BETTY I MOORE FOUNDATION,"Palo Alto, CA United States",Ohio State University Affiliates Inc,"Columbus, OH United States",To support improved data and data products for the astronomical community from the all-sky automated survey for supernovae.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year and 4 months,GRANT TITLE: Supporting Health Affairs in exploring the roots of inequity in publishing to guide the journal and other publications to a more equitable future,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Low-income people,SUPPORT STRATEGY: Outreach; Publications; Equal access,TRANSACTION TYPE: Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",Project Hope,"Hagerstown, MD United States",To (1) engage in discussions with the health services publishing sector to increase the amount and quality of health equity scholarship and to expand the equity-related content published.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2021,PROGRAM AREA: International Human Rights,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media justice; Journalism, news and information; Citizen journalism",POPULATION SERVED: Victims of crime and abuse,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States","Witness, Inc.","Brooklyn, NY United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2021,PROGRAM AREA: Strategic Initiatives,GRANT DURATION: 3 years,GRANT TITLE: Crime and Punishment in America,"SUBJECT:Media Content and Platforms; Television; Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Recordings and broadcasts; Public engagement and education,TRANSACTION TYPE: Cash grants,The Andrew W. Mellon Foundation,"New York City, NY United States",Greater Washington Educational Telecommunications Association Inc,"Arlington, VA United States",To support development of the Crime and Punishment in America documentary series,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2021,PROGRAM AREA: Humanities in Place,GRANT DURATION: 2 years,GRANT TITLE: AFRO Archives,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: People of African descent,SUPPORT STRATEGY: Building and renovations; Collections management and preservation; General support,TRANSACTION TYPE: Cash grants,The Andrew W. Mellon Foundation,"New York City, NY United States","Afro Charities, Inc.","Baltimore, MD United States",To support construction and operating costs for the AFRO Archives,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2021,PROGRAM AREA: Health Equity,GRANT DURATION: 1 year,GRANT TITLE: A Data-Driven Approach to Ending Racial Inequity Through Health Policy Evaluation and Innovation,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups,SUPPORT STRATEGY: Data and measurement systems; Network-building and collaboration; Equal access,TRANSACTION TYPE: Cash grants,The Commonwealth Fund,"New York City, NY United States",Trustees of Boston University,"Boston, MA United States","Ibram Kendi proposes to create two tools: a Racial Data Tracker and a Racial Policy Tracker. Kendi's team will collect data on policies, evaluate the effects of these policies, and ensure that this information is disseminated to state and federal policymakers with the power to promulgate antiracist policy. The new Racial Data Tracker will expand the team's existing COVID-19 Racial Data Tracker to include broader data on health inequities. The new database will track, visualize, and analyze racial inequities in real time, updating weekly and, at times, daily. By presenting multidisciplinary, multisector data on every policy and structural process contributing to systemic racism, it will also aid in training a new cadre of racial data scientists. The Racial Policy Tracker will support antiracist policymaking by documenting current health policies, especially key state and federal policies, and evaluating them. Kendi and team will create a centralized, longitudinal policy database for all U.S. States and territories as well as a sample of 100 communities with populations over 75,000. Through direct appeals to public health officials and examination of legislative records, meeting minutes, and spending data, they will gather information on health policy implementation to be able to: 1) measure the racially disparate impact of policy choices across key health metrics; 2) proactively support effective antiracist policymaking; and 3) assess challenges that interested policymakers face in implementing antiracist policies.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2021,PROGRAM AREA: Future of Work(ers),GRANT DURATION: 3 years,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups; Women and girls; Low-income people; Men and boys; People of European descent; Researchers,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Ford Foundation,"New York City, NY United States",Morehouse College,"Atlanta, GA United States",Core support for International Comparative Labor Studies for its work on the Advancing Black Strategists Initiative (ABSI) to create a cohort of Black strategists and academics to building a world view and the power of Black people in the South,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
