Foundation Name,EIN,Source,URL,State,Place-based,Geographic area(s) served,Subject area(s),Population(s) served,Year,Total revenue,Total expenses,Net income,Revenue source 1,Percent of total revenue 1,Revenue source 2,Percent of revenue 2,Revenue source 3,Percent of revenue 3,Other revenue sources,Percent of revenue other,Expense category 1,Proportion of total expenses 1,Expense category 2,Proportion of total expenses 2,Total assets,Total liabilities,Net assets,State_abbr,efile,ein,tax_pd,subseccd,s501c3or4947a1cd,schdbind,politicalactvtscd,lbbyingactvtscd,subjto6033cd,dnradvisedfundscd,prptyintrcvdcd,maintwrkofartcd,crcounselingqstncd,hldassetsintermpermcd,rptlndbldgeqptcd,rptinvstothsecd,rptinvstprgrelcd,rptothasstcd,rptothliabcd,sepcnsldtfinstmtcd,sepindaudfinstmtcd,inclinfinstmtcd,operateschools170cd,frgnofficecd,frgnrevexpnscd,frgngrntscd,frgnaggragrntscd,rptprofndrsngfeescd,rptincfnndrsngcd,rptincgamingcd,operatehosptlcd,hospaudfinstmtcd,rptgrntstogovtcd,rptgrntstoindvcd,rptyestocompnstncd,txexmptbndcd,invstproceedscd,maintescrwaccntcd,actonbehalfcd,engageexcessbnftcd,awarexcessbnftcd,loantofficercd,grantoofficercd,dirbusnreltdcd,fmlybusnreltdcd,servasofficercd,recvnoncashcd,recvartcd,ceaseoperationscd,sellorexchcd,ownsepentcd,reltdorgcd,intincntrlcd,orgtrnsfrcd,conduct5percentcd,compltschocd,f1096cnt,fw2gcnt,wthldngrulescd,noemplyeesw3cnt,filerqrdrtnscd,unrelbusinccd,filedf990tcd,frgnacctcd,prohibtdtxshltrcd,prtynotifyorgcd,filedf8886tcd,solicitcntrbcd,exprstmntcd,providegoodscd,notfydnrvalcd,filedf8282cd,f8282cnt,fndsrcvdcd,premiumspaidcd,filedf8899cd,filedf1098ccd,excbushldngscd,s4966distribcd,distribtodonorcd,initiationfees,grsrcptspublicuse,grsincmembers,grsincother,filedlieuf1041cd,txexmptint,qualhlthplncd,qualhlthreqmntn,qualhlthonhnd,rcvdpdtngcd,filedf720cd,totreprtabled,totcomprelatede,totestcompf,noindiv100kcnt,nocontractor100kcnt,totcntrbgfts,prgmservcode2acd,totrev2acola,prgmservcode2bcd,totrev2bcola,prgmservcode2ccd,totrev2ccola,prgmservcode2dcd,totrev2dcola,prgmservcode2ecd,totrev2ecola,totrev2fcola,totprgmrevnue,invstmntinc,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,rntlexpnsreal,rntlexpnsprsnl,rntlincreal,rntlincprsnl,netrntlinc,grsalesecur,grsalesothr,cstbasisecur,cstbasisothr,gnlsecur,gnlsothr,netgnls,grsincfndrsng,lessdirfndrsng,netincfndrsng,grsincgaming,lessdirgaming,netincgaming,grsalesinvent,lesscstofgoods,netincsales,miscrev11acd,miscrevtota,miscrev11bcd,miscrevtot11b,miscrev11ccd,miscrevtot11c,miscrevtot11d,miscrevtot11e,totrevenue,grntstogovt,grnsttoindiv,grntstofrgngovt,benifitsmembrs,compnsatncurrofcr,compnsatnandothr,othrsalwages,pensionplancontrb,othremplyeebenef,payrolltx,feesforsrvcmgmt,legalfees,accntingfees,feesforsrvclobby,profndraising,feesforsrvcinvstmgmt,feesforsrvcothr,advrtpromo,officexpns,infotech,royaltsexpns,occupancy,travel,travelofpublicoffcl,converconventmtng,interestamt,pymtoaffiliates,deprcatndepletn,insurance,othrexpnsa,othrexpnsb,othrexpnsc,othrexpnsd,othrexpnse,othrexpnsf,totfuncexpns,nonintcashend,svngstempinvend,pldgegrntrcvblend,accntsrcvblend,currfrmrcvblend,rcvbldisqualend,notesloansrcvblend,invntriesalesend,prepaidexpnsend,lndbldgsequipend,invstmntsend,invstmntsothrend,invstmntsprgmend,intangibleassetsend,othrassetsend,totassetsend,accntspayableend,grntspayableend,deferedrevnuend,txexmptbndsend,escrwaccntliabend,paybletoffcrsend,secrdmrtgsend,unsecurednotesend,othrliabend,totliabend,unrstrctnetasstsend,temprstrctnetasstsend,permrstrctnetasstsend,capitalstktrstend,paidinsurplusend,retainedearnend,totnetassetend,totnetliabastend,nonpfrea,totnooforgscnt,totsupport,gftgrntsrcvd170,txrevnuelevied170,srvcsval170,pubsuppsubtot170,exceeds2pct170,pubsupplesspct170,samepubsuppsubtot170,grsinc170,netincunreltd170,othrinc170,totsupp170,grsrcptsrelated170,totgftgrntrcvd509,grsrcptsadmissn509,grsrcptsactivities509,txrevnuelevied509,srvcsval509,pubsuppsubtot509,rcvdfrmdisqualsub509,exceeds1pct509,subtotpub509,pubsupplesub509,samepubsuppsubtot509,grsinc509,unreltxincls511tx509,subtotsuppinc509,netincunrelatd509,othrinc509,totsupp509
United Way of Delaware,510073399,RFA Community News Funds,https://uwde.org,Delaware,,,,,2023.0,"17,599,209","19,771,800","-2,172,591",Contributions,0.972,Program Services,0.023,Investment Income,0.005,,,Other Salaries and Wages,0.175,Executive Compensation,0.048,"12,294,720","4,256,503","8,038,217",DE,E,510073399.0,202206.0,3.0,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,39.0,0.0,Y,97.0,N,N,N,N,N,N,N,N,N,N,N,N,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,627983.0,0.0,74137.0,3.0,0.0,19454101.0,561000,2480000.0,561000,1396400.0,561000,296237.0,561000,41591.0,      ,0.0,0.0,4214228.0,67188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38330.0,30662.0,7668.0,0.0,0.0,0.0,0.0,0.0,0.0,561000,89327.0,561000,33546.0,      ,0.0,0.0,122873.0,23866058.0,16041688.0,0.0,0.0,0.0,942717.0,0.0,2572802.0,113605.0,253776.0,252120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135065.0,0.0,192116.0,144413.0,0.0,0.0,0.0,0.0,165599.0,0.0,1503129.0,586161.0,203086.0,55099.0,0.0,143559.0,23304935.0,385834.0,1586684.0,3987175.0,4046750.0,0.0,0.0,0.0,0.0,75633.0,912039.0,2042307.0,1739690.0,0.0,0.0,105675.0,14881787.0,4204680.0,727487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4932167.0,3563281.0,6386339.0,0.0,0.0,0.0,0.0,9949620.0,14881787.0,7,0.0,0.0,84071363.0,0.0,0.0,84071363.0,2278247.0,81793116.0,84071363.0,513859.0,0.0,1023118.0,85608340.0,2775552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wilmington Alliance,851287916,RFA Community News Funds,https://www.wilmingtonalliance.org,Delaware,,,,,,,,,,,,,,,,,,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allegheny Foundation,256012303,RFA Community News Funds,https://alleghanyfoundation.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranth Foundation,237743235,RFA Community News Funds,https://amaranth.foundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Heartful Fund of the Philadelphia Foundation,,RFA Community News Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Heinz Endowments,251721100,RFA Community News Funds,https://www.heinz.org,,,,,,2022.0,"120,446,355","98,940,783","21,505,572",Sales of Assets,0.87,Dividends,0.095,Other Income,0.035,,,Charitable Disbursements,0.951,Compensation of Officers,0.012,"2,046,165,848","64,182,106","1,981,983,742",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundation Fellows Fund for the Future,,RFA Community News Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Philadelphia Foundation,222524368,RFA Community News Funds,https://www.philafound.org,,,,,,,,,,,,,,,,,,,,,,,,,,E,222524368.0,202206.0,3.0,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,0.0,0.0,Y,0.0,N,N,N,N,N,N,N,N,N,N,N,N,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,0.0,1051088.0,205512.0,3.0,0.0,0.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,0.0,5782765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10593583.0,0.0,0.0,0.0,10593583.0,0.0,10593583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,0.0,16376348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209547.0,870.0,10172.0,0.0,0.0,21005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,5280000.0,0.0,129215.0,756.0,0.0,0.0,0.0,0.0,0.0,5651580.0,8021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326860.0,0.0,253426512.0,0.0,0.0,0.0,72123554.0,325884947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325884947.0,0.0,0.0,0.0,0.0,0.0,325884947.0,325884947.0,13,1.0,5280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Berks County Community Foundation,232769892,RFA Community News Funds,https://bccf.org,,,,,,2023.0,"11,644,962","9,214,146","2,430,816",Contributions,0.478,Sales of Assets,0.345,Investment Income,0.176,"Rental Property Income, Other Revenue",0.005,Other Salaries and Wages,0.077,Executive Compensation,0.057,"123,855,597","7,299,711","116,555,886",,E,232769892.0,202306.0,3.0,Y,Y,N,N,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,Y,34.0,0.0,Y,16.0,Y,N,N,Y,N,N,N,N,N,N,N,N,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,584189.0,0.0,42660.0,3.0,0.0,5565240.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,0.0,2053885.0,0.0,0.0,38602.0,0.0,0.0,0.0,38602.0,0.0,38602.0,29725626.0,0.0,25704847.0,0.0,4020779.0,0.0,4020779.0,16233.0,78515.0,-62282.0,0.0,0.0,0.0,0.0,0.0,0.0,900099,27128.0,900099,1610.0,      ,0.0,0.0,28738.0,11644962.0,4179219.0,1863156.0,0.0,0.0,527871.0,0.0,713276.0,18267.0,37390.0,88169.0,0.0,39889.0,40669.0,0.0,0.0,265361.0,265721.0,309753.0,74099.0,165666.0,0.0,134986.0,7068.0,0.0,76797.0,89906.0,0.0,178743.0,45014.0,65750.0,27376.0,0.0,0.0,0.0,0.0,9214146.0,26798.0,4149797.0,0.0,64309.0,0.0,0.0,162505.0,0.0,0.0,4531557.0,90297580.0,23655803.0,0.0,0.0,967248.0,123855597.0,222499.0,1416948.0,0.0,0.0,0.0,0.0,1641927.0,0.0,4018337.0,7299711.0,115609368.0,946518.0,0.0,0.0,0.0,0.0,116555886.0,123855597.0,8,0.0,0.0,21370220.0,0.0,0.0,21370220.0,5984362.0,15385858.0,21370220.0,8725344.0,0.0,0.0,30095564.0,179527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Berks County Community Foundation,232769892,RFA Community News Funds,https://bccf.org,,,,,,2023.0,"11,644,962","9,214,146","2,430,816",Contributions,0.478,Sales of Assets,0.345,Investment Income,0.176,"Rental Property Income, Other Revenue",0.005,Other Salaries and Wages,0.077,Executive Compensation,0.057,"123,855,597","7,299,711","116,555,886",,E,232769892.0,202206.0,3.0,Y,Y,N,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,Y,47.0,0.0,Y,13.0,Y,N,N,Y,N,N,N,N,N,N,N,N,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,536879.0,0.0,41963.0,3.0,0.0,8195322.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,0.0,1807715.0,0.0,0.0,36804.0,0.0,0.0,0.0,36804.0,0.0,36804.0,40850983.0,0.0,32759244.0,0.0,8091739.0,0.0,8091739.0,159129.0,54569.0,104560.0,0.0,0.0,0.0,0.0,0.0,0.0,900099,30000.0,900099,2777.0,      ,0.0,0.0,32777.0,18268917.0,4873142.0,803808.0,0.0,0.0,578842.0,0.0,528891.0,0.0,49469.0,70011.0,0.0,30312.0,22600.0,390.0,0.0,225879.0,165795.0,47088.0,45993.0,73249.0,0.0,191300.0,2822.0,0.0,27176.0,30558.0,0.0,177112.0,47379.0,77577.0,55611.0,23114.0,0.0,0.0,0.0,8148118.0,9789.0,4822280.0,0.0,37489.0,0.0,0.0,198617.0,0.0,0.0,4418314.0,80676606.0,28871059.0,0.0,0.0,975535.0,120009689.0,267596.0,1619306.0,0.0,0.0,0.0,0.0,1707386.0,0.0,3183759.0,6778047.0,112304161.0,927481.0,0.0,0.0,0.0,0.0,113231642.0,120009689.0,8,0.0,0.0,19443570.0,0.0,0.0,19443570.0,4642674.0,14800896.0,19443570.0,8040216.0,0.0,0.0,27483786.0,196334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Erie County Community Foundation,341792862,RFA Community News Funds,https://www.eriefoundation.org,,,,,,2022.0,"2,571,862","3,726,218","-1,154,356",Investment Income,0.607,Contributions,0.551,Other Revenue,0.021,"Program Services, Rental Property Income",0.02,Other Salaries and Wages,0.053,Executive Compensation,0.025,"36,718,322","4,282,251","32,436,071",,E,341792862.0,202212.0,3.0,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,9.0,0.0,Y,5.0,Y,Y,Y,N,N,N,N,N,N,N,N,N,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,92600.0,0.0,0.0,0.0,0.0,1417137.0,541200,41737.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,41737.0,1562244.0,0.0,0.0,12100.0,0.0,1218.0,0.0,10882.0,0.0,10882.0,4182665.0,0.0,4697734.0,0.0,-515069.0,0.0,-515069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,      ,54029.0,      ,6500.0,      ,-5598.0,0.0,54931.0,2571862.0,2611017.0,237234.0,0.0,0.0,92600.0,0.0,195827.0,0.0,72221.0,23671.0,0.0,1523.0,7200.0,0.0,0.0,218277.0,0.0,32701.0,77619.0,0.0,0.0,38291.0,0.0,0.0,7009.0,0.0,0.0,29930.0,5871.0,64061.0,5734.0,5432.0,0.0,0.0,0.0,3726218.0,0.0,92236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178890.0,35332625.0,0.0,0.0,0.0,114571.0,36718322.0,16232.0,299500.0,5339.0,0.0,0.0,0.0,441170.0,0.0,3520010.0,4282251.0,32335915.0,100156.0,0.0,0.0,0.0,0.0,32436071.0,36718322.0,8,0.0,0.0,9603648.0,0.0,0.0,9603648.0,3688421.0,5915227.0,9603648.0,6585536.0,0.0,0.0,16189184.0,325862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indepenence Public Media Foundation,,RFA Community News Funds,https://www.independencemedia.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lancaster County Community Foundation,200874857,RFA Community News Funds,https://www.lancfound.org,,,,,,2022.0,"16,848,863","17,131,820","-282,957",Contributions,0.885,Investment Income,0.216,Rental Property Income,0.004,Other Revenue,0.002,Other Salaries and Wages,0.055,Executive Compensation,0.023,"152,202,320","19,462,700","132,739,620",,E,200874857.0,202212.0,3.0,Y,Y,N,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,N,N,Y,29.0,0.0,Y,16.0,Y,Y,Y,N,N,N,N,N,N,N,N,Y,4.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,606769.0,0.0,81830.0,4.0,2.0,14919510.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,0.0,3640175.0,0.0,0.0,124813.0,0.0,62152.0,0.0,62661.0,0.0,62661.0,58702403.0,90313.0,60501117.0,101000.0,-1798714.0,-10687.0,-1809401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900099,35918.0,      ,0.0,      ,0.0,0.0,35918.0,16848863.0,13197387.0,45750.0,0.0,0.0,389144.0,0.0,947802.0,36176.0,212418.0,92403.0,0.0,1350.0,39185.0,4500.0,0.0,658852.0,113205.0,120171.0,70094.0,88357.0,0.0,123839.0,8496.0,0.0,103219.0,0.0,0.0,64217.0,26440.0,2695.0,654854.0,34073.0,30395.0,0.0,66798.0,17131820.0,0.0,9448130.0,88345.0,62189.0,0.0,0.0,3594000.0,0.0,109332.0,202219.0,120263311.0,16326076.0,0.0,0.0,2108718.0,152202320.0,309874.0,9776745.0,10000.0,0.0,0.0,0.0,0.0,0.0,9366081.0,19462700.0,132469737.0,269883.0,0.0,0.0,0.0,0.0,132739620.0,152202320.0,7,0.0,0.0,97451669.0,0.0,0.0,97451669.0,8880244.0,88571425.0,97451669.0,10108863.0,22594.0,0.0,107583126.0,211020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Lois Tack Thompson Fund of the Pittsburgh Foundation,,RFA Community News Funds,https://pittsburghfoundation.org/node/24980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Posner Foundation of Pittsburgh,256055022,RFA Community News Funds,https://posnerfoundation.org,,,,,,2022.0,"30,133,798","21,695,625","8,438,173",Sales of Assets,0.862,Dividends,0.139,Contributions Received,<.01,,,Charitable Disbursements,0.859,,,"182,613,119","1,793","182,611,326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scranton Area Foundation,232890364,RFA Community News Funds,https://safdn.org,,,,,,2022.0,"9,233,945","7,736,883","1,497,062",Contributions,0.78,Sales of Assets,0.115,Investment Income,0.102,Other Revenue,0.003,Other Salaries and Wages,0.064,Executive Compensation,0.023,"52,409,547","4,778,786","47,630,761",,E,232890364.0,202212.0,3.0,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,58.0,0.0,Y,13.0,Y,N,N,N,N,N,N,N,N,N,N,N,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,167930.0,0.0,26279.0,1.0,0.0,7198204.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,0.0,943407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12024850.0,0.0,10961907.0,0.0,1062943.0,0.0,1062943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900099,112002.0,900099,-82611.0,      ,0.0,0.0,29391.0,9233945.0,4638740.0,1054814.0,0.0,0.0,179417.0,0.0,498238.0,45443.0,92010.0,50173.0,0.0,3247.0,23250.0,0.0,0.0,240372.0,2071.0,0.0,21455.0,0.0,0.0,64168.0,778.0,0.0,0.0,0.0,0.0,6059.0,19021.0,469333.0,280314.0,26871.0,13355.0,0.0,7754.0,7736883.0,2642386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6333.0,459973.0,49275275.0,0.0,0.0,0.0,25580.0,52409547.0,36808.0,564226.0,0.0,0.0,0.0,0.0,0.0,0.0,4177752.0,4778786.0,17340797.0,30289964.0,0.0,0.0,0.0,0.0,47630761.0,52409547.0,7,0.0,0.0,25621612.0,0.0,0.0,25621612.0,0.0,25621612.0,25621612.0,4224238.0,0.0,0.0,29845850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
York County Community Foundation,236299868,RFA Community News Funds,https://yccf.org,,,,,,2022.0,"12,899,257","9,154,775","3,744,482",Contributions,0.697,Sales of Assets,0.158,Investment Income,0.127,Program Services,0.018,Other Salaries and Wages,0.112,Executive Compensation,0.033,"187,288,078","53,033,993","134,254,085",,E,236299868.0,202212.0,3.0,Y,Y,N,N,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,Y,Y,N,N,N,Y,27.0,0.0,Y,16.0,Y,Y,Y,N,N,N,N,N,N,N,N,N,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,522632.0,0.0,45024.0,3.0,2.0,8986147.0,561000,155421.0,525920,80342.0,900099,2780.0,      ,0.0,      ,0.0,0.0,238543.0,1635598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60324220.0,0.0,58285251.0,0.0,2038969.0,0.0,2038969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,0.0,12899257.0,5940335.0,345975.0,0.0,0.0,298970.0,0.0,1023112.0,40241.0,142149.0,97659.0,0.0,21901.0,35100.0,0.0,0.0,464111.0,166171.0,42939.0,73029.0,101500.0,0.0,117681.0,7153.0,0.0,0.0,0.0,0.0,19140.0,13995.0,98382.0,81411.0,12209.0,11612.0,0.0,0.0,9154775.0,204321.0,14151135.0,18490.0,33409.0,0.0,0.0,0.0,0.0,0.0,42530.0,126382565.0,45700380.0,0.0,0.0,755248.0,187288078.0,159540.0,670957.0,0.0,0.0,0.0,0.0,0.0,0.0,52203496.0,53033993.0,130946616.0,3307469.0,0.0,0.0,0.0,0.0,134254085.0,187288078.0,7,0.0,0.0,36914681.0,0.0,0.0,36914681.0,5518925.0,31395756.0,36914681.0,8616326.0,416386.0,0.0,45947393.0,1131234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
